datetime,symbol,Open,High,Low,Close,Volume
2022-09-26 10:00:00,BMFBOVESPA:IBOV,111712.7,111712.7,109021.62,109114.16,0.0
2022-09-27 10:00:00,BMFBOVESPA:IBOV,109121.86,110161.07,108120.26,108376.35,0.0
2022-09-28 10:00:00,BMFBOVESPA:IBOV,108376.5,108970.15,107914.01,108451.2,0.0
2022-09-29 10:00:00,BMFBOVESPA:IBOV,108448.54,108448.54,106243.52,107664.35,0.0
2022-09-30 10:00:00,BMFBOVESPA:IBOV,107664.35,110502.2,107315.15,110036.79,0.0
2022-10-03 10:00:00,BMFBOVESPA:IBOV,110047.56,116134.46,110047.56,116134.46,0.0
2022-10-04 10:00:00,BMFBOVESPA:IBOV,116147.46,118280.11,115837.2,116230.12,0.0
2022-10-05 10:00:00,BMFBOVESPA:IBOV,116230.86,117514.25,115906.33,117197.82,0.0
2022-10-06 10:00:00,BMFBOVESPA:IBOV,117199.7,118382.31,117143.65,117560.83,0.0
2022-10-07 10:00:00,BMFBOVESPA:IBOV,117560.47,117960.4,115924.33,116375.25,0.0
2022-10-10 10:00:00,BMFBOVESPA:IBOV,116377.15,116840.61,115261.12,115940.64,0.0
2022-10-11 10:00:00,BMFBOVESPA:IBOV,115927.72,115927.72,114296.52,114827.12,0.0
2022-10-13 10:00:00,BMFBOVESPA:IBOV,114819.2,115366.95,112690.12,114300.09,0.0
2022-10-14 10:00:00,BMFBOVESPA:IBOV,114300.68,114712.03,111631.4,112072.34,0.0
2022-10-17 10:00:00,BMFBOVESPA:IBOV,112106.8,114406.03,112090.36,113623.98,0.0
2022-10-18 10:00:00,BMFBOVESPA:IBOV,113626.63,115795.05,113626.63,115743.07,0.0
2022-10-19 10:00:00,BMFBOVESPA:IBOV,115744.37,116459.14,115264.36,116274.24,0.0
2022-10-20 10:00:00,BMFBOVESPA:IBOV,116276.16,117366.58,116276.16,117171.11,0.0
2022-10-21 10:00:00,BMFBOVESPA:IBOV,117170.19,120751.55,116735.71,119928.79,0.0
2022-10-24 10:00:00,BMFBOVESPA:IBOV,119921.67,119924.17,115792.69,116012.7,0.0
2022-10-25 10:00:00,BMFBOVESPA:IBOV,116015.67,116203.11,114625.59,114625.59,0.0
2022-10-26 10:00:00,BMFBOVESPA:IBOV,114625.59,114625.59,112577.15,112763.79,0.0
2022-10-27 10:00:00,BMFBOVESPA:IBOV,112765.63,116235.76,112765.24,114640.76,0.0
2022-10-28 10:00:00,BMFBOVESPA:IBOV,114636.18,114712.07,113336.06,114539.05,0.0
2022-10-31 10:00:00,BMFBOVESPA:IBOV,114533.14,116763.47,112113.34,116037.08,0.0
2022-11-01 10:00:00,BMFBOVESPA:IBOV,116037.26,118261.2,115547.46,116928.66,0.0
2022-11-03 10:00:00,BMFBOVESPA:IBOV,116927.42,117373.01,114485.13,116896.36,0.0
2022-11-04 10:00:00,BMFBOVESPA:IBOV,116907.18,120039.37,116904.14,118155.46,0.0
2022-11-07 10:00:00,BMFBOVESPA:IBOV,118148.47,118239.86,115220.95,115342.4,0.0
2022-11-08 10:00:00,BMFBOVESPA:IBOV,115339.64,117072.45,114687.75,116160.35,0.0
2022-11-09 10:00:00,BMFBOVESPA:IBOV,116153.42,116182.73,113109.53,113580.09,0.0
2022-11-10 10:00:00,BMFBOVESPA:IBOV,113578.78,113578.78,108516.46,109775.46,0.0
2022-11-11 10:00:00,BMFBOVESPA:IBOV,109775.46,113009.62,109408.1,112253.49,0.0
2022-11-14 10:00:00,BMFBOVESPA:IBOV,112255.54,114322.31,111930.35,113161.28,0.0
2022-11-16 10:00:00,BMFBOVESPA:IBOV,113166.25,113473.39,109512.22,110243.33,0.0
2022-11-17 10:00:00,BMFBOVESPA:IBOV,110240.66,110241.8,107245.13,109702.78,0.0
2022-11-18 10:00:00,BMFBOVESPA:IBOV,109706.43,111584.86,108511.71,108870.17,0.0
2022-11-21 10:00:00,BMFBOVESPA:IBOV,108868.18,110235.29,107957.01,109748.18,0.0
2022-11-22 10:00:00,BMFBOVESPA:IBOV,109749.71,110223.73,107867.47,109036.54,0.0
2022-11-23 10:00:00,BMFBOVESPA:IBOV,109035.8,109285.24,107901.91,108841.15,0.0
2022-11-24 10:00:00,BMFBOVESPA:IBOV,108845.74,112612.16,108845.74,111831.16,0.0
2022-11-25 10:00:00,BMFBOVESPA:IBOV,111831.16,112025.47,108551.96,108976.7,0.0
2022-11-28 10:00:00,BMFBOVESPA:IBOV,108976.7,109476.06,108377.75,108782.15,0.0
2022-11-29 10:00:00,BMFBOVESPA:IBOV,108783.98,112187.11,108783.98,110909.61,0.0
2022-11-30 10:00:00,BMFBOVESPA:IBOV,110909.69,112486.01,110202.25,112486.01,0.0
2022-12-01 10:00:00,BMFBOVESPA:IBOV,112478.68,112478.76,110547.84,110925.6,0.0
2022-12-02 10:00:00,BMFBOVESPA:IBOV,110925.74,113760.75,109963.02,111923.93,0.0
2022-12-05 10:00:00,BMFBOVESPA:IBOV,111921.65,112149.58,109270.18,109401.41,0.0
2022-12-06 10:00:00,BMFBOVESPA:IBOV,109402.99,110662.73,109217.24,110188.57,0.0
2022-12-07 10:00:00,BMFBOVESPA:IBOV,110188.05,110246.79,108612.02,109068.55,0.0
2022-12-08 10:00:00,BMFBOVESPA:IBOV,109067.66,109285.75,106905.81,107249.04,0.0
2022-12-09 10:00:00,BMFBOVESPA:IBOV,107249.76,108565.57,107089.22,107519.56,0.0
2022-12-12 10:00:00,BMFBOVESPA:IBOV,107518.28,107561.12,103876.71,105343.33,0.0
2022-12-13 10:00:00,BMFBOVESPA:IBOV,105345.14,106689.38,103409.27,103539.67,0.0
2022-12-14 10:00:00,BMFBOVESPA:IBOV,103536.1,104515.83,101631.98,103745.77,0.0
2022-12-15 10:00:00,BMFBOVESPA:IBOV,103739.25,105482.72,103014.26,103737.69,0.0
2022-12-16 10:00:00,BMFBOVESPA:IBOV,103737.17,104017.56,102248.42,102855.7,0.0
2022-12-19 10:00:00,BMFBOVESPA:IBOV,102859.17,105107.19,102769.76,104739.75,0.0
2022-12-20 10:00:00,BMFBOVESPA:IBOV,104739.56,107792.12,104606.87,106864.11,0.0
2022-12-21 10:00:00,BMFBOVESPA:IBOV,106865.92,107991.07,106065.73,107433.14,0.0
2022-12-22 10:00:00,BMFBOVESPA:IBOV,107436.3,108382.66,106509.7,107551.52,0.0
2022-12-23 10:00:00,BMFBOVESPA:IBOV,107551.7,109994.23,107551.7,109697.57,0.0
2022-12-26 10:00:00,BMFBOVESPA:IBOV,109698.84,109755.23,108308.77,108737.75,0.0
2022-12-27 10:00:00,BMFBOVESPA:IBOV,108739.34,109352.67,107418.4,108578.2,0.0
2022-12-28 10:00:00,BMFBOVESPA:IBOV,108578.38,110535.56,108578.38,110236.71,0.0
2022-12-29 10:00:00,BMFBOVESPA:IBOV,110237.41,111177.53,109560.31,109734.6,0.0
2023-01-02 10:00:00,BMFBOVESPA:IBOV,109733.88,109733.88,105980.66,106376.02,0.0
2023-01-03 10:00:00,BMFBOVESPA:IBOV,106376.76,106683.69,103852.27,104165.74,0.0
2023-01-04 10:00:00,BMFBOVESPA:IBOV,104167.14,105627.28,103915.11,105334.46,0.0
2023-01-05 10:00:00,BMFBOVESPA:IBOV,105336.15,107743.23,105333.08,107641.32,0.0
2023-01-06 10:00:00,BMFBOVESPA:IBOV,107641.87,109432.79,107641.87,108963.7,0.0
2023-01-09 10:00:00,BMFBOVESPA:IBOV,108963.9,109937.57,108134.33,109129.57,0.0
2023-01-10 10:00:00,BMFBOVESPA:IBOV,109128.58,111193.43,108478.19,110816.71,0.0
2023-01-11 10:00:00,BMFBOVESPA:IBOV,110816.14,112552.12,110752.0,112517.08,0.0
2023-01-12 10:00:00,BMFBOVESPA:IBOV,112516.4,113128.8,110981.59,111850.22,0.0
2023-01-13 10:00:00,BMFBOVESPA:IBOV,111843.47,111846.71,110427.64,110916.08,0.0
2023-01-16 10:00:00,BMFBOVESPA:IBOV,110907.91,110907.91,108752.91,109212.66,0.0
2023-01-17 10:00:00,BMFBOVESPA:IBOV,109213.72,111577.45,109213.72,111439.12,0.0
2023-01-18 10:00:00,BMFBOVESPA:IBOV,111442.39,113306.24,111441.08,112228.39,0.0
2023-01-19 10:00:00,BMFBOVESPA:IBOV,112219.38,113171.83,111306.96,112921.88,0.0
2023-01-20 10:00:00,BMFBOVESPA:IBOV,112921.52,113024.87,111734.58,112040.64,0.0
2023-01-23 10:00:00,BMFBOVESPA:IBOV,112040.64,113061.34,111541.82,111737.28,0.0
2023-01-24 10:00:00,BMFBOVESPA:IBOV,111746.04,113040.25,111669.24,113028.15,0.0
2023-01-25 10:00:00,BMFBOVESPA:IBOV,113028.01,114426.47,111927.22,114270.07,0.0
2023-01-26 10:00:00,BMFBOVESPA:IBOV,114271.19,114835.35,113591.04,114177.55,0.0
2023-01-27 10:00:00,BMFBOVESPA:IBOV,114178.21,114190.65,112044.46,112316.16,0.0
2023-01-30 10:00:00,BMFBOVESPA:IBOV,112318.91,112920.3,111823.63,112273.01,0.0
2023-01-31 10:00:00,BMFBOVESPA:IBOV,112273.01,113691.16,112144.78,113430.54,0.0
